mayp,May Parker,梅·帕克,https://www.wanweibaike.com/wiki-%E6%A2%85%C2%B7%E5%B8%95%E5%85%8B,https://baike.baidu.com/item/%E6%A2%85%C2%B7%E5%B8%95%E5%85%8B/20794984,,,,,,,
nedl,Ned Leeds,内德·利兹,0,https://baike.baidu.com/item/%E5%86%85%E5%BE%B7%C2%B7%E5%88%A9%E5%85%B9/23317403,,,,,,,
adriant,Adrian Toomes,秃鹫,0,https://baike.baidu.com/item/%E7%A7%83%E9%B9%AB/15866509,,,,,,,
eugenet,Flash Thompson,闪电·汤普森,https://www.wanweibaike.com/wiki-%E9%96%83%E9%9B%BB%C2%B7%E6%B9%AF%E6%99%AE%E6%A3%AE,https://baike.baidu.com/item/%E9%97%AA%E7%94%B5%C2%B7%E6%B1%A4%E6%99%AE%E6%A3%AE,,,,,,,
aarond,Aaron Davis,徘徊者,0,https://baike.baidu.com/item/%E5%BE%98%E5%BE%8A%E8%80%85/23255204,,,,,,,
hermans,Herman Schultz,赫尔曼·舒尔茨,0,https://baike.baidu.com/item/%E8%B5%AB%E5%B0%94%E6%9B%BC%C2%B7%E8%88%92%E5%B0%94%E8%8C%A8/22821141,,,,,,,
phineasm,Phineas Mason,修补匠,0,https://baike.baidu.com/item/%E4%BF%AE%E8%A1%A5%E5%8C%A0/19304888,,,,,,,
shuri,Shuri,苏里,0,https://baike.baidu.com/item/%E8%8B%8F%E9%87%8C/20592145?fr=aladdin,,,,,,,
ebonym,The Ebony Maw,乌木喉,https://www.wanweibaike.com/wiki-%E7%83%8F%E6%9C%A8%E5%96%89,https://baike.baidu.com/item/%E4%B9%8C%E6%9C%A8%E5%96%89/20480252?fr=aladdin,,,,,,,
obsidianc,Obsidian Cull,黑矮星,https://www.wanweibaike.com/wiki-%E9%BB%91%E7%9F%AE%E6%98%9F_(%E6%BC%AB%E5%A8%81%E6%BC%AB%E7%95%AB),https://baike.baidu.com/item/%E9%BB%91%E7%9F%AE%E6%98%9F/20479968?fr=aladdin,,,,,,,
bettyb,Betty Brant,贝蒂·布兰特,0,https://baike.baidu.com/item/%E8%B4%9D%E8%92%82%C2%B7%E5%B8%83%E5%85%B0%E7%89%B9/22056727?fr=aladdin,,,,,,,
stanlee,Stan Lee,漫威之父斯坦李,https://www.wanweibaike.com/wiki-%E5%8F%B2%E4%B8%B9%C2%B7%E6%9D%8E,https://baike.baidu.com/item/%E6%BC%AB%E5%A8%81%E4%B9%8B%E7%88%B6%E6%96%AF%E5%9D%A6%C2%B7%E6%9D%8E,,,,,,,
